,ISOarea,s2nDet,PhotoFlag,FWHM,FWHM_n,MUMAX,A,B,THETA,FlRadDet,KrRadDet,nDet_auto,nDet_petro,nDet_aper,uJAVA_auto,euJAVA_auto,s2n_uJAVA_auto,uJAVA_petro,euJAVA_petro,s2n_uJAVA_petro,uJAVA_aper,euJAVA_aper,s2n_uJAVA_aper,F378_auto,eF378_auto,s2n_F378_auto,F378_petro,eF378_petro,s2n_F378_petro,F378_aper,eF378_aper,s2n_F378_aper,F395_auto,eF395_auto,s2n_F395_auto,F395_petro,eF395_petro,s2n_F395_petro,F395_aper,eF395_aper,s2n_F395_aper,F410_auto,eF410_auto,s2n_F410_auto,F410_petro,eF410_petro,s2n_F410_petro,F410_aper,eF410_aper,s2n_F410_aper,F430_auto,eF430_auto,s2n_F430_auto,F430_petro,eF430_petro,s2n_F430_petro,F430_aper,eF430_aper,s2n_F430_aper,g_auto,eg_auto,s2n_g_auto,g_petro,eg_petro,s2n_g_petro,g_aper,eg_aper,s2n_g_aper,F515_auto,eF515_auto,s2n_F515_auto,F515_petro,eF515_petro,s2n_F515_petro,F515_aper,eF515_aper,s2n_F515_aper,r_auto,r_petro,er_auto,s2n_r_auto,er_petro,s2n_r_petro,r_aper,er_aper,s2n_r_aper,F660_auto,eF660_auto,s2n_F660_auto,F660_petro,eF660_petro,s2n_F660_petro,F660_aper,eF660_aper,s2n_F660_aper,i_auto,ei_auto,s2n_i_auto,i_petro,ei_petro,s2n_i_petro,i_aper,ei_aper,s2n_i_aper,F861_auto,eF861_auto,s2n_F861_auto,F861_petro,eF861_petro,s2n_F861_petro,F861_aper,eF861_aper,s2n_F861_aper,z_auto,ez_auto,s2n_z_auto,z_petro,ez_petro,s2n_z_petro,z_aper,ez_aper,s2n_z_aper,zb,zb_Min,zb_Max,Tb,Odds,Chi2,M_B,Stell_Mass,CLASS,PROB_GAL,PROB_STAR,RA_WISE,Dec_WISE,w1mpro,w1sigmpro,w1snr,w1sat,w2mpro,w2sigmpro,w2snr,w2sat,ext_flg,cc_flags,var_flg,ph_qual,Class
5,316,161.13,2,4.28,1.56,14.77,5.4,4.87,45.7,3.392,1.71,12,12,12,20.3,0.22,5.0,19.89,0.28,3.8,21.96,0.35,3.1,20.07,0.24,4.5,19.76,0.34,3.2,21.16,0.23,4.7,19.75,0.29,3.7,20.24,0.87,1.2,20.88,0.29,3.7,19.16,0.15,7.2,19.16,0.28,3.8,20.22,0.15,7.4,19.22,0.15,7.2,18.83,0.2,5.5,20.3,0.15,7.3,18.22,0.02,49.2,17.84,0.03,39.4,19.21,0.02,46.0,17.77,0.04,29.2,17.35,0.05,24.1,18.81,0.04,27.0,17.13,16.77,0.02,103.2,0.02,83.6,18.05,0.02,94.7,16.99,0.02,103.7,16.64,0.02,84.5,17.87,0.02,94.7,16.7,0.02,107.1,16.38,0.02,81.2,17.57,0.02,110.6,16.45,0.02,60.7,16.18,0.03,43.0,17.34,0.02,65.2,16.46,0.02,73.9,16.13,0.02,53.9,17.29,0.02,87.0,0.147,0.141,0.16,5.56,0.9286620000000001,0.6464,-20.9336,10.9885,3,0.9,0.1,312.12,-1.1323,13.837,0.027000000000000003,39.9,0.0,13.62,0.035,31.1,0.0,0.0,0000,11nn,AAUU,0
27,1268,367.14,3,5.22,2.42,13.58,8.92,7.55,-35.6,4.664,1.37,12,12,12,18.51,0.05,23.0,18.08,0.07,16.2,19.98,0.06,19.3,18.1,0.05,23.6,17.59,0.06,18.3,19.85,0.07,15.6,17.85,0.06,19.2,17.27,0.07,15.8,19.4,0.07,14.8,17.63,0.04,25.0,17.15,0.06,18.9,19.42,0.07,15.8,17.01,0.03,42.7,16.5,0.03,34.5,18.57,0.04,29.8,16.41,0.02,177.3,15.97,0.02,153.5,17.83,0.02,113.4,16.06,0.02,105.4,15.63,0.02,87.6,17.44,0.02,70.8,15.44,15.03,0.02,326.6,0.02,287.7,16.74,0.02,212.8,15.32,0.02,296.1,14.92,0.02,262.3,16.61,0.02,191.5,15.01,0.02,359.9,14.63,0.02,290.1,16.22,0.02,262.8,14.74,0.02,224.0,14.37,0.02,172.9,15.93,0.02,173.1,14.68,0.02,286.2,14.32,0.02,207.1,15.91,0.02,236.1,0.065,0.062,0.068,6.01,0.9996120000000001,2.7446,-20.8246,10.8421,3,0.863,0.13699999999999998,316.91,-1.2281,12.25,0.023,47.0,0.0,12.254000000000001,0.024,44.4,0.0,5.0,0000,00nn,AABU,0
29,276,167.73,0,3.57,1.66,14.55,5.07,4.8,-41.3,2.88,1.7,12,12,12,21.33,0.45,2.4,20.54,0.42,2.6,21.7,0.23,4.6,20.05,0.2,5.5,19.59,0.24,4.5,20.88,0.16,6.8,19.73,0.23,4.8,19.61,0.38,2.8,20.53,0.18,6.0,19.34,0.15,7.3,18.97,0.2,5.4,20.48,0.16,6.8,19.68,0.2,5.5,19.01,0.2,5.4,20.25,0.13,8.4,18.46,0.02,45.9,18.12,0.03,35.3,19.26,0.02,47.9,18.15,0.04,25.7,17.81,0.06,19.4,18.88,0.04,29.1,17.33,16.98,0.02,100.8,0.02,80.8,18.07,0.02,101.1,17.12,0.02,98.7,16.8,0.02,79.1,17.89,0.02,94.5,16.9,0.02,104.0,16.56,0.02,80.3,17.58,0.02,117.5,16.64,0.02,62.1,16.31,0.02,46.5,17.36,0.02,71.3,16.55,0.02,76.8,16.21,0.02,56.7,17.28,0.02,93.8,0.174,0.16899999999999998,0.184,5.63,0.929328,1.2703,-21.1497,11.0858,3,0.813,0.187,317.03,-1.1279,13.9,0.028999999999999998,37.5,0.0,13.658,0.036000000000000004,30.2,0.0,0.0,0000,43nn,AAUU,0
35,311,215.08,0,4.4,1.72,15.0,5.09,4.45,-27.6,3.217,1.56,12,12,12,18.74,0.07,16.2,18.34,0.09,12.5,19.97,0.09,12.4,18.64,0.08,13.9,18.08,0.09,12.4,19.82,0.1,11.0,18.27,0.09,12.5,17.77,0.1,10.5,19.32,0.1,11.1,18.31,0.08,14.5,17.99,0.1,10.4,19.55,0.1,10.9,17.69,0.04,26.8,17.26,0.05,21.8,18.83,0.05,21.2,17.23,0.02,105.5,16.86,0.02,88.7,18.2,0.02,83.8,16.96,0.02,53.5,16.66,0.03,40.8,17.91,0.02,45.9,16.49,16.18,0.02,157.3,0.02,126.1,17.35,0.02,134.6,16.4,0.02,134.0,16.06,0.02,110.6,17.26,0.02,113.7,16.15,0.02,125.9,15.86,0.02,94.2,16.95,0.02,119.3,15.89,0.02,81.8,15.6,0.02,59.7,16.72,0.02,80.7,15.93,0.02,104.3,15.66,0.02,72.5,16.69,0.02,112.5,0.055999999999999994,0.047,0.061,2.98,0.9801129999999999,0.7187,-19.2036,10.2077,3,0.847,0.153,319.65,-1.0553,13.575999999999999,0.025,43.0,0.0,13.532,0.033,33.4,0.0,0.0,0000,110n,AABU,0
55,418,231.28,3,5.47,1.86,14.9,6.04,4.2,-82.1,3.285,1.4,12,12,12,19.4,0.06,19.4,18.74,0.06,17.2,20.88,0.09,11.5,19.34,0.07,15.9,18.57,0.07,15.7,20.69,0.1,10.5,19.09,0.1,11.1,18.64,0.13,8.2,20.12,0.11,9.7,18.89,0.07,15.5,18.23,0.08,13.8,20.0,0.09,12.5,18.72,0.06,19.6,18.06,0.06,17.5,19.9,0.07,14.8,17.96,0.02,98.1,17.39,0.02,87.9,19.02,0.02,74.6,17.63,0.02,55.9,17.05,0.02,49.7,18.7,0.03,43.2,17.09,16.63,0.02,192.2,0.02,161.5,17.98,0.02,158.8,16.9,0.02,178.1,16.47,0.02,147.6,17.82,0.02,144.1,16.66,0.02,195.0,16.26,0.02,146.3,17.5,0.02,177.9,16.41,0.02,115.6,16.03,0.02,83.3,17.25,0.02,110.1,16.39,0.02,107.5,16.02,0.02,74.3,17.2,0.02,108.5,0.165,0.149,0.168,9.91,0.874409,1.0542,-22.0383,10.9876,3,0.997,0.003,,,,,,,,,,,,,,,0
57,612,321.96,3,4.71,1.6,14.35,6.25,6.03,72.9,3.5439999999999996,1.43,12,12,12,19.55,0.08,13.8,19.33,0.13,8.3,20.66,0.08,13.9,19.28,0.08,13.8,18.92,0.12,9.4,20.31,0.08,14.5,19.01,0.11,9.8,18.49,0.14,7.7,20.15,0.12,9.4,18.61,0.07,16.2,18.24,0.1,11.4,19.68,0.07,16.3,18.65,0.06,17.1,18.2,0.08,12.9,19.84,0.07,15.5,17.43,0.02,127.2,17.09,0.02,96.6,18.5,0.02,104.8,16.91,0.02,84.1,16.57,0.02,63.0,18.01,0.02,68.7,16.54,16.2,0.02,252.6,0.02,195.8,17.5,0.02,211.8,16.33,0.02,237.4,15.99,0.02,186.4,17.33,0.02,193.0,16.1,0.02,259.8,15.77,0.02,187.9,17.03,0.02,243.1,15.82,0.02,157.7,15.5,0.02,110.9,16.77,0.02,154.1,15.81,0.02,146.5,15.47,0.02,101.2,16.72,0.02,156.2,0.106,0.10300000000000001,0.12,6.52,0.8840309999999999,1.9471,-21.0117,10.8445,3,0.6,0.4,323.64,-1.1067,13.285,0.025,44.3,0.0,13.144,0.031,35.5,0.0,1.0,0000,11nn,AAUC,0
62,377,206.63,2,3.91,1.61,15.08,6.14,4.62,-88.8,3.072,1.51,12,12,12,19.66,0.13,8.1,18.95,0.14,8.0,20.77,0.14,7.6,19.19,0.19,5.7,18.79,0.25,4.3,20.31,0.21,5.2,19.52,0.3,3.6,18.74,0.29,3.8,21.0,0.45,2.4,18.66,0.11,9.9,18.03,0.12,9.2,19.94,0.14,7.8,18.91,0.13,8.3,18.94,0.26,4.2,19.95,0.14,8.0,17.88,0.02,63.8,17.57,0.02,47.3,18.73,0.02,62.3,17.43,0.03,39.6,17.11,0.04,29.3,18.23,0.03,40.5,16.85,16.51,0.02,101.5,0.02,79.4,17.64,0.02,97.3,16.75,0.02,126.0,16.42,0.02,101.9,17.52,0.02,114.7,16.43,0.02,149.1,16.09,0.02,117.5,17.18,0.02,145.1,16.19,0.02,95.8,15.83,0.02,75.1,16.92,0.02,96.7,16.12,0.02,122.7,15.78,0.02,93.0,16.87,0.02,129.4,0.127,0.114,0.131,5.46,0.914565,0.7751,-20.8322,10.9565,3,0.943,0.057,324.46,-1.1906,13.558,0.026000000000000002,41.9,0.0,13.405999999999999,0.038,28.4,0.0,0.0,0000,00nn,AACC,0
73,238,139.23,0,4.88,1.35,16.07,4.78,3.79,20.6,2.9760000000000004,1.59,12,12,12,22.4,1.53,0.7,20.49,0.5,2.2,22.27,0.6,1.8,20.64,0.39,2.8,21.29,1.31,0.8,21.06,0.26,4.2,19.47,0.21,5.3,19.67,0.46,2.4,20.28,0.2,5.4,19.59,0.22,5.0,19.17,0.27,4.0,20.47,0.22,4.9,19.54,0.17,6.3,19.76,0.39,2.8,20.39,0.17,6.3,18.3,0.02,46.3,17.96,0.03,36.8,19.18,0.03,40.5,18.17,0.05,23.2,17.89,0.06,16.9,18.76,0.04,26.3,17.27,16.93,0.02,97.1,0.02,80.9,18.05,0.02,86.2,17.24,0.02,93.1,16.94,0.02,75.4,17.89,0.02,88.4,16.88,0.02,112.6,16.56,0.02,90.3,17.63,0.02,103.4,16.76,0.02,68.4,16.45,0.02,53.3,17.39,0.02,70.7,16.67,0.02,85.4,16.36,0.02,63.9,17.33,0.02,90.2,0.177,0.17,0.192,3.46,0.8480620000000001,1.4541,-21.1181,11.0402,6,0.233,0.767,,,,,,,,,,,,,,,0
91,1073,382.91,2,5.37,1.96,14.2,8.24,7.39,-73.7,4.2989999999999995,1.44,12,12,12,18.39,0.06,18.9,17.83,0.07,15.7,19.9,0.07,16.3,18.03,0.06,18.5,17.46,0.07,15.4,19.41,0.06,17.4,17.91,0.08,12.9,17.15,0.09,12.6,19.14,0.08,14.0,17.65,0.06,19.3,17.25,0.08,13.9,18.98,0.06,18.8,17.02,0.03,34.6,16.55,0.04,27.2,18.26,0.03,33.9,16.42,0.02,162.2,16.02,0.02,132.8,17.64,0.02,124.8,16.02,0.02,84.7,15.6,0.02,66.8,17.22,0.02,72.3,15.55,15.16,0.02,285.5,0.02,241.9,16.69,0.02,215.5,15.32,0.02,260.5,14.94,0.02,221.3,16.53,0.02,187.1,15.06,0.02,328.1,14.68,0.02,267.7,16.21,0.02,257.0,14.64,0.02,159.3,14.26,0.02,125.7,15.92,0.02,123.2,14.77,0.02,265.2,14.4,0.02,200.6,15.91,0.02,238.6,0.057,0.051,0.06,6.13,0.9993629999999999,0.94,-20.4156,10.6743,3,0.853,0.147,313.6,-0.8087,12.439,0.024,44.7,0.0,12.468,0.026000000000000002,41.1,0.0,5.0,0000,00nn,AABC,0
95,305,189.65,3,3.87,1.6,15.19,5.51,4.44,22.7,2.9930000000000003,1.51,11,11,11,20.15,0.19,5.6,19.79,0.28,3.9,20.92,0.17,6.5,-99.0,0.0,-1.0,-99.0,0.0,-1.0,-99.0,0.0,-1.0,19.36,0.23,4.7,18.61,0.23,4.8,20.91,0.39,2.8,19.54,0.21,5.2,18.67,0.18,5.9,20.28,0.17,6.2,18.74,0.1,11.4,18.43,0.14,7.8,19.82,0.11,9.9,18.02,0.02,64.1,17.67,0.02,49.5,18.82,0.02,60.4,17.45,0.03,37.2,17.17,0.04,26.2,18.31,0.03,35.0,17.02,16.68,0.02,111.4,0.02,85.5,17.78,0.02,107.2,16.81,0.02,117.9,16.47,0.02,95.7,17.64,0.02,101.3,16.58,0.02,138.2,16.25,0.02,105.4,17.29,0.02,135.2,16.26,0.02,80.6,15.92,0.02,60.4,17.07,0.02,78.3,16.25,0.02,99.5,15.91,0.02,72.3,17.02,0.02,104.7,0.133,0.11900000000000001,0.13699999999999998,7.08,0.906718,0.8427,-21.2055,10.8552,3,0.883,0.11699999999999999,313.94,-0.6769,13.595999999999998,0.026000000000000002,42.1,0.0,13.484000000000002,0.034,32.0,0.0,0.0,0000,01nn,AAUC,0
